"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"FHLMC CMO","0.39","BOND - GOV'T AGENCY CMO","-","-","-","4389409","-290412","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-08-15","6.03","-"
"BANC AMER CMBS 2007-3","0.39","BOND - COMMERCIAL MBS","-","-","-","4000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2049-06-10","5.84","-"
"J P Morgan Chase & Co Mtn Be FRN","0.38","BOND - CORPORATE BOND","-","-","-","4300000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-26","0.91","-"
"Duke Engy Corp New FRN","0.35","BOND - CORPORATE BOND","-","-","-","4000000","4000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-04-03","0.61","-"
"Wells Fargo Co Mtn Be FRN","0.35","BOND - CORPORATE BOND","-","-","-","4000000","4000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-04-22","0.69","-"
"Wells Fargo Mbs 2005-Ar4 CMO","0.33","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","3621900","3621900","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-04-25","4.68","-"
"FNMA CMO","0.32","BOND - GOV'T AGENCY CMO","-","-","-","3534840","-312969","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2040-06-25","1.01","-"
"FNMA 6%","0.31","BOND - GOV'T AGENCY PASS-THRU","-","-","-","3071500","-333076","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2038-11-01","6","-"
"Halcyon Struct Asset 2007-1 FRN","0.31","BOND - ASSET BACKED","-","-","-","3467325","-853647","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2021-08-07","5.61","-"
"Wamu Mtg Cert 2005-Ar1 CMO","0.3","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","3576190","-94954","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2045-01-25","2.8","-"
"Fannie Mae Single Family TBA 6% 2044-07-01","-0.3","BOND - GOV'T AGENCY PASS-THRU","-","-","-","3000000","3000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-01","6","-"
"Structured Asset Adj 2005-18 CMO","0.3","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","3693232","-78986","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-09-25","5.34","-"
"Mexico La Sp Dub","0.29","CREDIT DEFAULT SWAP","-","-","-","3200000","3200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-20","1","-"
"Wachovia Cmbs 2007-Whale8 CMO","0.28","BOND - COMMERCIAL MBS","-","-","-","3200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2020-06-15","5.46","-"
"FNMA CMO","0.27","BOND - GOV'T AGENCY CMO","-","-","-","3005458","-239845","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2040-06-25","0.98","-"
"Daimler Fin North Amer 144A 1.25%","0.25","BOND - CORPORATE BOND","-","-","-","2850000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-01-11","1.25","-"
"Citi Omni Mstr Talf 2009-A14 FRN","0.25","BOND - ASSET BACKED","-","-","-","2800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-08-15","3.01","-"
"Wachovia Corp New FRN","0.24","BOND - CORPORATE BOND","-","-","-","2700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-10-15","5.74","-"
"Sallie Mae 3.875%","0.24","BOND - CORPORATE BOND","-","-","-","2600000","2600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-10","3.88","-"
"Lehman Mtg Tr 2007-5 CMO","0.24","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","3638914","-166612","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-08-25","5.64","-"
"General Mtrs Finl Co 2.75%","0.23","BOND - CORPORATE BOND","-","-","-","2600000","2600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-15","2.75","-"
"Ford Motor Credit Co FRN","0.23","BOND - CORPORATE BOND","-","-","-","2600000","1300000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-09","1.47","-"
"Ncua Guaran Nts Tr 2010-R1 CMO","0.23","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","2562385","-92696","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2020-10-07","0.71","-"
"FHLMC CMO","0.23","BOND - GOV'T AGENCY CMO","-","-","-","2540916","-139112","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-05-15","6.26","-"
"FHLMC CMO","0.22","BOND - GOV'T AGENCY CMO","-","-","-","2466923","-126564","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-07-15","5.93","-"
"Wamu Mtg Cert 2006-Ar3 CMO","0.21","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","2557203","-40030","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2046-02-25","4.62","-"
"FHLMC CMO","0.21","BOND - GOV'T AGENCY CMO","-","-","-","2385222","-95254","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-09-15","6.47","-"
"Hj Heinz Co Tl B2","0.2","BOND - BANK LOANS","-","-","-","2277000","-5750","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2020-06-05","3.5","-"
"Italy Govt Sw Sp Boa","0.2","CREDIT DEFAULT SWAP","-","-","-","2200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Wachovia Corp New FRN","0.19","BOND - CORPORATE BOND","-","-","-","2200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-06-15","5.63","-"
"FHLMC CMO","0.19","BOND - GOV'T AGENCY CMO","-","-","-","2156346","-132469","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-08-15","6.21","-"
"FNMA CMO","0.18","BOND - GOV'T AGENCY CMO","-","-","-","2015257","-115243","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-10-25","6.5","-"
"Kraft Foods 4.125%","0.18","BOND - CORPORATE BOND","-","-","-","1896000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-09","4.12","-"
"Italy Govt Sw Sp Hus","0.17","CREDIT DEFAULT SWAP","-","-","-","1900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-03-20","1","-"
"Italy Govt Sw Sp Dub","0.17","CREDIT DEFAULT SWAP","-","-","-","1900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-03-20","1","-"
"Citigroup Mtg Ln Tr 2006-Ar1 CMO","0.17","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","1934056","-77836","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-10-25","4.9","-"
"Telefonica Emisiones S A U 6.421%","0.17","BOND - CORPORATE BOND","-","-","-","1700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-20","6.42","-"
"FNMA CMO","0.16","BOND - GOV'T AGENCY CMO","-","-","-","1788930","-156589","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2040-05-25","0.88","-"
"General Mls FRN","0.16","BOND - CORPORATE BOND","-","-","-","1800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-01-29","0.53","-"
"Ford Motor Credit Co 3.984%","0.16","BOND - CORPORATE BOND","-","-","-","1700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-15","3.98","-"
"Harborview Mtg Ln Tr 2006-12 CMO","0.16","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","2049550","-55033","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-12-19","5.54","-"
"FNMA CMO","0.13","BOND - GOV'T AGENCY CMO","-","-","-","1504951","-103044","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2040-03-25","0.97","-"
"FNMA CMO","0.13","BOND - GOV'T AGENCY CMO","-","-","-","1462936","-108587","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-09-25","3.97","-"
"Export Import Bk Korea","0.12","BOND - GOV'T AGENCY DEBT","-","-","-","1400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-01-14","0.98","-"
"Michigan State Muni Sp Gst","0.12","CREDIT DEFAULT SWAP","-","-","-","1400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-03-20","0.44","-"
"FNMA CMO","0.12","BOND - GOV'T AGENCY CMO","-","-","-","1292851","-90648","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2039-11-25","1","-"
"FHLMC CMO","0.11","BOND - GOV'T AGENCY CMO","-","-","-","1277395","-103457","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2038-01-15","5.3","-"
"Ace Secs Heq 2006-Op1 FRN","0.11","BOND - ASSET BACKED","-","-","-","1419624","1419624","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-04-25","5.23","-"
"Wells Fargo Mbs 2006-Ar10 CMO","0.11","BOND - NON-AGENCY RESIDENTIAL MBS","-","-","-","1292022","1292022","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2036-07-25","5.65","-"
"FHLMC CMO 6.5%","0.11","BOND - GOV'T AGENCY CMO","-","-","-","1084101","-17063","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2043-10-25","6.5","-"
"Daimler Fin North Amer 144A 1.3%","0.11","BOND - CORPORATE BOND","-","-","-","1200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-07-31","1.3","-"
"Panhandle-Plain Hghr Ed 2010-2 FRN","0.11","BOND - ASSET BACKED","-","-","-","1176641","-41814","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-10-01","1.41","-"
"China As Sp Dub","0.1","CREDIT DEFAULT SWAP","-","-","-","1100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-20","1","-"
"FHLMC CMO 4%","0.1","BOND - GOV'T AGENCY CMO","-","-","-","1098592","-148406","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2038-06-15","4","-"
"China As Sp Dub","0.1","CREDIT DEFAULT SWAP","-","-","-","1100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-20","1","-"
"Italy Govt Sw Sp Myc","0.1","CREDIT DEFAULT SWAP","-","-","-","1100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-03-20","1","-"
"FHLMC FRN","0.09","BOND - GOV'T AGENCY PASS-THRU","-","-","-","960318","-48255","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2035-06-01","2.28","-"
