"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Dreamworks Animation SKG Inc","1.38","EQUITY","DWA","Small Value","2006-08-31","533800","383600","Consumer Cyclical","21.75","0.04|0.18%","22.02-21.38","1124725","36.01-19.2","United States","-4.45","-35.37","6.58","-11.01","1850.13","USD","3","-38.85","-","-","-","-"
"Google Inc Class A","1.31","EQUITY","GOOGL","Large Growth","2014-02-28","20000","0","Technology","521.51","-10.6|-1.99%","532.24-521.46","2371543","614.44-511","United States","-9.98","-1.31","19.22","12.48","360965.16","USD","3","-5.13","28.28","-","-","-"
"Liberty Global PLC Class A","1.29","EQUITY","LBTYA","Large Growth","2004-08-31","244789","0","Communication Services","48.25","-0.5|-1.03%","48.96-47.99","2199980","90.93-37.98","United Kingdom","11.15","12.72","33.9","35.22","38051.71","USD","2","7.24","-","-","-","-"
"Gannett Co Inc","1.19","EQUITY","GCI","Mid Value","2013-07-31","326900","0","Consumer Cyclical","30.56","-0.88|-2.8%","31.2-30.56","2219070","35.7-25.29","United States","-1.46","24.1","36.38","21.08","7100.12","USD","3","8.99","15.31","-","-","-"
"HomeAway Inc","1.07","EQUITY","AWAY","Small Growth","2014-08-31","266100","0","Technology","30.19","0.29|0.97%","30.61-29.7","1413055","48.9-27.95","United States","-9.12","-21.17","5.99","-","2819.89","USD","-","-26.86","242.8","-","-","-"
"Interpublic Group of Companies, Inc","0.97","EQUITY","IPG","Mid Core","2013-01-31","431200","0","Consumer Cyclical","19.57","-0.58|-2.88%","20.02-19.56","3374511","20.68-15.9","United States","5.28","22.49","30.05","24.1","8427.32","USD","2","15.99","24.06","-","-","-"
"Priceline Group Inc","0.82","EQUITY","PCLN","Large Growth","2014-10-31","5900","5900","Consumer Cyclical","1103.99","-10.28|-0.92%","1119.82-1103.52","676646","1378.96-1017.28","United States","-5.32","-5.42","32.43","38.24","58338.75","USD","4","-4.14","25.17","-","-","-"
"Cablevision Systems Corp Class A","0.73","EQUITY","CVC","Mid Value","2014-09-30","340300","0","Communication Services","19.74","-0.3|-1.5%","20.22-19.73","3176365","21.97-15.69","United States","5.43","27.25","15.35","8.51","5483.54","USD","3","15.11","18","-","-","-"
"Liberty Media Corporation Class A","0.71","EQUITY","LMCA","Mid Growth","2013-01-31","128093","0","Consumer Cyclical","34.47","-0.55|-1.57%","34.86-34.42","1136245","39.41-31.03","United States","-5.54","-10.28","-","-","12013.45","USD","-","-9.35","6.4","-","-","-"
"Sinclair Broadcast Group Inc","0.52","EQUITY","SBGI","Small Value","2011-10-31","155600","0","Consumer Cyclical","25.47","-0.28|-1.09%","25.68-25.21","680504","37.5-23.88","United States","-7.87","-19.87","37.09","51.73","2459.81","USD","-","-26.17","21.4","-","-","-"
"AMC Networks Inc Class A","0.47","EQUITY","AMCX","Mid Growth","2013-10-31","67400","0","Consumer Cyclical","59.78","-0.22|-0.38%","60.28-59.42","479818","78.39-52.73","United States","-4.02","-7.66","18.29","-","4326.95","USD","3","-11.9","19.64","-","-","-"
"Nexstar Broadcasting Group Inc Class A","0.42","EQUITY","NXST","Small Core","2014-06-30","80400","0","Consumer Cyclical","50.76","-0.57|-1.11%","51.55-50.47","351358","56.42-32.2","United States","16.31","5.21","86.73","69.1","1585.58","USD","-","-6.82","74.04","-","-","-"
"New York Times Co Class A","0.42","EQUITY","NYT","Small Growth","2013-07-31","282000","0","Consumer Cyclical","12.97","-0.08|-0.61%","13.06-12.85","1012773","17.37-11.22","United States","7.91","-1.49","19.42","7.59","1961.5","USD","-","-16.76","52.56","-","-","-"
"SFX Entertainment Inc","0.19","EQUITY","SFXE","-","2014-06-30","327800","0","Consumer Cyclical","3.85","-0.09|-2.28%","4.05-3.68","915388","12.15-3.52","United States","-39.48","-62.83","-","-","356.83","USD","-","-67.17","-","-","-","-"
"Omnicom Group Inc","0.18","EQUITY","OMC","Large Core","2011-07-31","22000","0","Consumer Cyclical","76.01","-1.5|-1.94%","77.49-75.96","1668227","78.49-64.03","United States","9.3","13.61","22.48","17.6","19236.41","USD","2","6.1","18.61","-","-","-"
"AMC Entertainment Holdings Inc Class A","0.04","EQUITY","AMC","Small Core","2014-09-30","12185","0","Consumer Cyclical","24.91","0.05|0.2%","25.5-24.47","150734","26.83-18.81","United States","1.83","-","-","-","2421.02","USD","-","23.89","7.28","-","-","-"
"Wayfair Inc Class A","0.01","EQUITY","W","-","2014-10-31","2100","2100","Consumer Cyclical","18.44","-0.94|-4.85%","19.2-16.74","2432336","39.43-16.74","United States","-","-","-","-","1606.9","USD","-","-","-","-","-","-"
"Entercom Communications Corp","0","EQUITY","ETM","Small Value","2013-05-31","3053","0","Consumer Cyclical","11.07","0.1|0.91%","11.15-10.8","69967","11.47-7.86","United States","17.58","14.27","21.54","10.63","428.81","USD","-","4.38","16.59","-","-","-"
"Discovery Communications Inc Class A","0","EQUITY","DISCA","Mid Growth","2007-05-31","450","0","Consumer Cyclical","33.38","-0.67|-1.97%","34.3-33.06","4978208","45.38-31.29","United States","-15.66","-21.15","16.73","15.86","15061.53","USD","4","-26.28","10.07","-","-","-"
"Cumulus Media Inc Class A","0","EQUITY","CMLS","Small Core","2013-05-31","210","0","Consumer Cyclical","3.87","0.03|0.78%","3.95-3.71","1096111","8.19-2.88","United States","-7.69","-42.69","7.51","10.8","891.65","USD","-","-50.32","16.11","-","-","-"
